Object Name,Game Location,Pixel Sprite (in-game),Description of the Object in the Real World (and its meaning for knowledge and culture),Connection to TOK Knowledge Questions (with suggested answers and reasons),Learn More (MLA),"Components When Dissected (claims, fact, materials)",Icon,Rarity,Concept,Framework Element,Subject,In-Game Effect,Sprite Template,Object ID
"Astragali Knucklebone Dice, Ancient Greece",The Grand Reliquary: given by Oracle Keeper Thessaly after an exchange,Generated in-game (template: bone),"Ancient Greeks and Romans used the knucklebones of sheep or goats, called astragali, for both games of chance and divination. Diviners read patterns in how the bones landed to answer questions or predict events, a practice called cleromancy. The same bones appear in children's graves and everyday game sets, showing their double life as toys and tools of fate.","KQ: Can chance ever count as a fair way to learn the truth about the future?

Suggested answer 1: Greek diviners cast astragali as a form of cleromancy, trusting the fall of bone to reveal a will beyond human choice, so pure chance could feel more trustworthy than a priest's own opinion.

Suggested answer 2: The same bones also turned up in ordinary children's games and gambling with no religious weight at all, so identical objects moved freely between sacred truth telling and casual play.","""Knucklebones."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Knucklebones. | ""Astragalus (Bone)."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Astragalus_(bone).","Claim card 1: Greek diviners cast astragali as a form of cleromancy, trusting the fall of bone to reveal a will beyond human choice, so pure chance could feel… | Claim card 2: The same bones also turned up in ordinary children's games and gambling with no religious weight at all, so identical objects moved freely between… | Fact card: Ancient Greeks and Romans used the knucklebones of sheep or goats, called astragali, for both games of chance and divination. | Materials: 2 Bone, 1 Charcoal",🦴,Rare,Truth,Ethics,World Religions,Carried: trial bonus (reveal),bone,r64_056
"Spanish Silver Piece of Eight, Potosi Mint, 17th Century","The Exchange stall (delivered from Cusco of Two Records), about 100 lumens",Generated in-game (template: coin),"Spain minted silver 'pieces of eight,' known as reales de a ocho, at Potosi and other colonial mints from the 1500s onward, using silver mined largely through forced indigenous labour under the mita system. The coin's reliable weight and purity made it a global trade currency, accepted from the Americas to Asia. The United States recognised the Spanish dollar as legal tender within its own borders until 1857.","KQ: Why did one Spanish coin end up as legal money in a country which never minted it?

Suggested answer 1: Merchants trusted the piece of eight's fixed silver content so widely the United States accepted it as legal currency until 1857, so a foreign coin could outcompete a young nation's own money on trust alone.

Suggested answer 2: Colonial silver mined at Potosi, largely by forced indigenous and enslaved labour, gave the coin its value, so a symbol of global trust also carried an origin many later observers call unjust.","""Spanish Dollar."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Spanish_dollar. | ""Potosi."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Potos%C3%AD.","Claim card 1: Merchants trusted the piece of eight's fixed silver content so widely the United States accepted it as legal currency until 1857, so a foreign coin… | Claim card 2: Colonial silver mined at Potosi, largely by forced indigenous and enslaved labour, gave the coin its value, so a symbol of global trust also carried… | Fact card: Spain minted silver 'pieces of eight,' known as reales de a ocho, at Potosi and other colonial mints from the 1500s onward, using silver mined… | Materials: 2 Silver, 1 Charcoal",🪙,Epic,Perspective,Perspectives,Economics,Carried: courier route to The Grand Reliquary,coin,r64_057
"The Ashes Urn, Terracotta, England, 1882",Royal Society Court: in the open (Field Search or floor pickup),Generated in-game (template: pot),"The Sporting Times printed a mock obituary for English cricket after Australia won a match at the Oval in 1882, joking the body would be cremated and the ashes taken to Australia. English players received a small terracotta urn during a later tour, and the Ashes became the name for Test cricket series between England and Australia. The urn itself stays at the Marylebone Cricket Club museum rather than travelling with the trophy presented to winning teams today.","KQ: How does a joke in a newspaper turn into a trophy two nations still compete for?

Suggested answer 1: A satirical obituary joked English cricket had died in 1882 and its ashes shipped to Australia, so a small joke created a rivalry both nations still value well over a century later.

Suggested answer 2: No one fully agrees on what the tiny urn's actual ashes contain, with some accounts naming a bail or a ball, so the entire prize both teams chase may rest on an unclear origin story.","""The Ashes."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/The_Ashes.","Claim card 1: A satirical obituary joked English cricket had died in 1882 and its ashes shipped to Australia, so a small joke created a rivalry both nations still… | Claim card 2: No one fully agrees on what the tiny urn's actual ashes contain, with some accounts naming a bail or a ball, so the entire prize both teams chase… | Fact card: The Sporting Times printed a mock obituary for English cricket after Australia won a match at the Oval in 1882, joking the body would be cremated… | Materials: 2 Clay, 1 Charcoal",🏺,Rare,Values,Perspectives,Sports Science,Carried: +1 Vigor for trials,pot,r64_058
"Ifa Divination Chain, Yoruba Opele, West Africa",Griot Roads: first-win reward of the Fallacy Volley trial,Generated in-game (template: chart),"Ifa divination, practised among the Yoruba people of West Africa, uses a chain called an opele, strung with eight seed pod halves, or a set of palm nuts. A trained priest called a babalawo interprets the pattern the chain makes when cast, matching it to one of 256 odu, or verses, memorised through years of apprenticeship. UNESCO recognised Ifa divination as part of humanity's intangible cultural heritage in 2005.","KQ: Can a system built on chance still count as a way of knowing?

Suggested answer 1: A babalawo reads the pattern an opele chain makes when dropped, matching it to one of 256 odu verses memorised over years of training, so chance selects the verse while deep memorised knowledge supplies the meaning.

Suggested answer 2: Outsiders sometimes dismiss divination as random guessing dressed up in ritual, so two observers can watch the identical chain fall and reach entirely different conclusions about what just happened.","""Ifa."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Ifa. | ""Yoruba Religion."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Yoruba_religion.","Claim card 1: A babalawo reads the pattern an opele chain makes when dropped, matching it to one of 256 odu verses memorised over years of training, so chance… | Claim card 2: Outsiders sometimes dismiss divination as random guessing dressed up in ritual, so two observers can watch the identical chain fall and reach… | Fact card: Ifa divination, practised among the Yoruba people of West Africa, uses a chain called an opele, strung with eight seed pod halves, or a set of palm… | Materials: 2 Paper, 1 Charcoal",🔗,Epic,Perspective,Perspectives,World Religions,Carried: Perspective Token (Perspective),chart,r64_059
"Omar Khayyam's Treatise on Algebra, Samarkand, c. 1070",Ulugh Beg's Observatory: given by Observatory Assistant Farrukh after an exchange,Generated in-game (template: tool),"The Persian scholar Omar Khayyam wrote a treatise on algebra around 1070, based at courts in Samarkand and later Isfahan. The book classified cubic equations into types and solved them by intersecting conic sections such as parabolas and circles, since algebraic notation for higher powers did not yet exist. Khayyam is also remembered for reforming the Persian calendar and for poetry collected in the 'Rubaiyat.'","KQ: Why solve an algebra problem by drawing a picture instead of writing an equation?

Suggested answer 1: Omar Khayyam solved cubic equations by finding where curves like parabolas and circles cross, since Islamic mathematics of his era had no symbolic algebra for higher powers, so a geometric perspective filled a gap symbols could not yet cover.

Suggested answer 2: Later mathematicians in Renaissance Italy solved the same cubic equations using purely symbolic algebra, so a problem once viewed only through geometry gained an entirely different, faster perspective centuries later.","""Omar Khayyam."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Omar_Khayyam.","Claim card 1: Omar Khayyam solved cubic equations by finding where curves like parabolas and circles cross, since Islamic mathematics of his era had no symbolic… | Claim card 2: Later mathematicians in Renaissance Italy solved the same cubic equations using purely symbolic algebra, so a problem once viewed only through… | Fact card: The Persian scholar Omar Khayyam wrote a treatise on algebra around 1070, based at courts in Samarkand and later Isfahan. | Materials: 2 Wood, 1 Resin",📐,Epic,Perspective,Methods and Tools,Mathematics,Carried: Perspective Token (Perspective),tool,r64_060
"Edo Period Koban Gold Coin, Japan, 1601",Ukiyo District: hidden. Hint: Hidden beneath a loose floorboard in the merchant quarter replica house.,Generated in-game (template: coin),"The Tokugawa shogunate introduced the oval shaped koban gold coin starting in 1601, standardising currency across Japan under a new unified government. Mints stamped each coin by hand with ink markings certifying weight and purity. Japan's sakoku policy of limited foreign contact, in place for over two centuries, let the koban keep its distinct shape and system largely separate from coinage used elsewhere in the world.","KQ: Why did an island nation's currency stay so different from its neighbours' coins?

Suggested answer 1: The oval koban, stamped by hand with ink and a mint mark rather than cast round like Chinese or Western coins, reflected Japan's own metalworking traditions and closed trade policy during the Edo period.

Suggested answer 2: Japan's isolation policy limited how far the koban ever needed to compete with foreign currencies, so a coin could stay unusual for centuries without ever facing pressure to standardise with the outside world.","""Koban (Coin)."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Koban_(coin). | ""Edo Period."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Edo_period.","Claim card 1: The oval koban, stamped by hand with ink and a mint mark rather than cast round like Chinese or Western coins, reflected Japan's own metalworking… | Claim card 2: Japan's isolation policy limited how far the koban ever needed to compete with foreign currencies, so a coin could stay unusual for centuries… | Fact card: The Tokugawa shogunate introduced the oval shaped koban gold coin starting in 1601, standardising currency across Japan under a new unified… | Materials: 2 Silver, 1 Charcoal",🪙,Common,Culture,Scope,Economics,On finding: +12 Culture insight,coin,r64_061
"Monte Carlo Casino Roulette Wheel, Monaco, 1863",The Forum of Claims: in the open (Field Search or floor pickup),Generated in-game (template: chart),"The Casino de Monte-Carlo opened in Monaco in 1863, building its early fortune partly on roulette. The wheel's design, including one or two zero pockets depending on the version, gives the house a small but steady mathematical edge over players. Stories about gamblers who broke the bank for a single night, most famously Charles Wells in 1891, became famous partly because the house always wins back its edge over time.","KQ: Who should carry responsibility when a game is built to make the house win over time?

Suggested answer 1: Roulette's fixed house edge means the casino profits steadily over many spins even though any single player might win big, so responsibility for long term loss sits in the maths of the wheel, not any one unlucky night.

Suggested answer 2: Casinos market roulette as pure entertainment while relying on players who misjudge the odds after a run of losses, so the house can claim a light responsibility while the design itself quietly guarantees its profit.","""Roulette."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Roulette. | ""Casino de Monte-Carlo."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Casino_de_Monte-Carlo.","Claim card 1: Roulette's fixed house edge means the casino profits steadily over many spins even though any single player might win big, so responsibility for… | Claim card 2: Casinos market roulette as pure entertainment while relying on players who misjudge the odds after a run of losses, so the house can claim a light… | Fact card: The Casino de Monte-Carlo opened in Monaco in 1863, building its early fortune partly on roulette. | Materials: 2 Paper, 1 Resin",🎰,Rare,Responsibility,Ethics,Psychology,Carried: trial bonus (time),chart,r64_062
"Roger Bannister's Running Shoes, Oxford, 1954",The Grand Reliquary: given by Trainer Franz Stampfl after an exchange,Generated in-game (template: chart),"The British runner Roger Bannister ran a mile in 3 minutes 59.4 seconds at Iffley Road track in Oxford on 6 May 1954, becoming the first person recorded breaking the four minute barrier. Many in athletics had considered the barrier close to a biological limit. The Australian John Landy broke Bannister's record just over a month later, and dozens of runners have since gone under four minutes.","KQ: How does a number everyone believes impossible become ordinary within a year?

Suggested answer 1: Roger Bannister ran the mile in 3 minutes 59.4 seconds at Oxford in 1954, breaking a barrier doctors and coaches once called dangerous or impossible, so a single run reset what an entire sport believed a body could achieve.

Suggested answer 2: Another runner broke Bannister's own new record within 46 days of the first sub four minute mile, so a limit once treated as fixed by biology often turns out to be fixed mainly by belief.","""Roger Bannister."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Roger_Bannister. | ""Four-Minute Mile."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Four-minute_mile.","Claim card 1: Roger Bannister ran the mile in 3 minutes 59.4 seconds at Oxford in 1954, breaking a barrier doctors and coaches once called dangerous or… | Claim card 2: Another runner broke Bannister's own new record within 46 days of the first sub four minute mile, so a limit once treated as fixed by biology often… | Fact card: The British runner Roger Bannister ran a mile in 3 minutes 59.4 seconds at Iffley Road track in Oxford on 6 May 1954, becoming the first person… | Materials: 2 Paper, 1 Resin",👟,Rare,Values,Scope,Sports Science,Carried: +2 Vigor for trials,chart,r64_063
"Rhind Mathematical Papyrus, Egypt, c. 1650 BCE",The Great Library: first-win reward of the Cipher of the Stacks trial,Generated in-game (template: scroll),"The scribe Ahmes copied this papyrus around 1650 BCE, stating it drew on material roughly two centuries older. The document contains eighty four mathematical problems covering fractions, area, volume, and the distribution of bread and beer, along with complete solutions. Alexander Henry Rhind purchased the papyrus in Luxor in 1858, and the British Museum has held it since 1865.","KQ: How much can eighty four practice problems reveal about a whole society's mathematics?

Suggested answer 1: The Rhind papyrus preserves eighty four solved problems covering fractions, geometry, and distribution of goods, giving historians direct evidence of methods Egyptian scribes actually used rather than guesses based on later summaries.

Suggested answer 2: A single training document copied by one scribe cannot show how widely these methods spread beyond scribal schools, so rich evidence from one papyrus still leaves whole parts of Egyptian society undocumented.","""Rhind Mathematical Papyrus."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Rhind_Mathematical_Papyrus.","Claim card 1: The Rhind papyrus preserves eighty four solved problems covering fractions, geometry, and distribution of goods, giving historians direct evidence… | Claim card 2: A single training document copied by one scribe cannot show how widely these methods spread beyond scribal schools, so rich evidence from one… | Fact card: The scribe Ahmes copied this papyrus around 1650 BCE, stating it drew on material roughly two centuries older. | Materials: 2 Paper, 1 Cord",📜,Rare,Evidence,Methods and Tools,Mathematics,On finding: +15 Evidence insight,scroll,r64_064
"Plimpton 322 Clay Tablet, Babylon, c. 1800 BCE",The Great Library: hidden. Hint: Sealed in a labelled crate at the bottom of the tablet archive stack.,Generated in-game (template: tablet),"Plimpton 322 is a Babylonian clay tablet, dated to around 1800 BCE, inscribed with a table of numbers in cuneiform script arranged in four columns and fifteen rows. The numbers form Pythagorean triples, and scholars have debated since the twentieth century whether the tablet functioned as an early trigonometric table, a teaching aid, or a record connected to land surveying. Columbia University holds the tablet today, as part of the George Arthur Plimpton collection.","KQ: How can experts still disagree about what a four thousand year old tablet was actually for?

Suggested answer 1: The numbers on Plimpton 322 form Pythagorean triples arranged in careful columns, leading some historians to read it as an early trigonometric table centuries before Greek trigonometry existed.

Suggested answer 2: Other historians argue the tablet more likely served as a teacher's list of exercises for students practising a known method, so the identical rows of numbers still support two very different stories about their purpose.","""Plimpton 322."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Plimpton_322.","Claim card 1: The numbers on Plimpton 322 form Pythagorean triples arranged in careful columns, leading some historians to read it as an early trigonometric table… | Claim card 2: Other historians argue the tablet more likely served as a teacher's list of exercises for students practising a known method, so the identical rows… | Fact card: Plimpton 322 is a Babylonian clay tablet, dated to around 1800 BCE, inscribed with a table of numbers in cuneiform script arranged in four columns… | Materials: 2 Stone, 1 Cord",🪨,Legendary,Interpretation,Scope,Mathematics,Key to secret_ma,tablet,r64_065
"The Landlord's Game Patent, Lizzie Magie, 1904","The Exchange stall (delivered from The Forum of Claims), about 50 lumens",Generated in-game (template: gameboard),"Elizabeth 'Lizzie' Magie patented The Landlord's Game in 1904, designing it to illustrate economist Henry George's argument: concentrated land ownership drove inequality. The game included two rule sets, one rewarding monopoly and one rewarding shared wealth, meant to let players compare outcomes. Charles Darrow later adapted a version of the game and sold it to Parker Brothers as Monopoly in 1935, and Magie received a small one time payment with little public credit for decades.","KQ: Can a game teach players to dislike the very system which makes it fun to play?

Suggested answer 1: Lizzie Magie patented The Landlord's Game in 1904 to show how rent under a single owner concentrates wealth and power at the expense of everyone else at the table, so a game could carry a political argument inside its rules.

Suggested answer 2: Players and later publishers enjoyed the pure thrill of buying property and bankrupting rivals far more than the lesson about monopoly Magie intended, so a game built to criticise concentrated power ended up celebrating it as Monopoly instead.","""The Landlord's Game."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/The_Landlord%27s_Game. | ""Elizabeth Magie."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Elizabeth_Magie.","Claim card 1: Lizzie Magie patented The Landlord's Game in 1904 to show how rent under a single owner concentrates wealth and power at the expense of everyone… | Claim card 2: Players and later publishers enjoyed the pure thrill of buying property and bankrupting rivals far more than the lesson about monopoly Magie… | Fact card: Elizabeth 'Lizzie' Magie patented The Landlord's Game in 1904, designing it to illustrate economist Henry George's argument: concentrated land… | Materials: 2 Wood, 1 Charcoal",🏠,Rare,Power,Ethics,Global Politics,On finding: +17 Power insight,gameboard,r64_066
"Manilla Bronze Currency, Benin, 16th Century",Benin City: in the open (Field Search or floor pickup),Generated in-game (template: coin),"Manillas, horseshoe shaped rings of bronze or copper, circulated as currency across parts of West Africa, including the Benin region, for local trade for centuries. European traders from the 15th century onward brought manufactured manillas in large quantities to exchange for goods, palm oil, and, tragically, for enslaved people during the transatlantic slave trade. Colonial administrations phased manillas out of official use in Nigeria only in 1949.","KQ: Can an object used for trade still carry responsibility for the trade it helped complete?

Suggested answer 1: European traders exchanged manillas, horseshoe shaped bronze or copper rings, for goods and, at their worst, for enslaved people along the West African coast, so a simple metal currency sat directly inside one of history's gravest crimes.

Suggested answer 2: Manillas also served ordinary local trade and bridewealth payments across West Africa long before and after European contact, so the same currency form carried both everyday community use and a role in the transatlantic slave trade.","""Manilla (Money)."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Manilla_(money).","Claim card 1: European traders exchanged manillas, horseshoe shaped bronze or copper rings, for goods and, at their worst, for enslaved people along the West… | Claim card 2: Manillas also served ordinary local trade and bridewealth payments across West Africa long before and after European contact, so the same currency… | Fact card: Manillas, horseshoe shaped rings of bronze or copper, circulated as currency across parts of West Africa, including the Benin region, for local… | Materials: 2 Silver, 1 Charcoal",🔗,Epic,Responsibility,Ethics,History,Carried: Perspective Token (Responsibility),coin,r64_067
"Kibble Balance, NIST Kilogram Redefinition, 2019",The Ring: first-win reward of the Scales of Justification trial,Generated in-game (template: scale),"Scientists at NIST and other national metrology institutes refined the Kibble balance, a device balancing electromagnetic force against gravity, to measure mass in terms of the Planck constant. In 2019 the General Conference on Weights and Measures used this method to redefine the kilogram, retiring the physical prototype cylinder kept near Paris since 1889. The new definition means any lab with a sufficiently precise Kibble balance can realise the kilogram without comparing to a single physical object.","KQ: Why replace a physical metal object with a constant of nature no one can touch?

Suggested answer 1: The Kibble balance measures mass by balancing gravitational force against a precisely measurable electromagnetic force, tying the kilogram to the Planck constant instead of one fragile cylinder in France.

Suggested answer 2: Only a handful of laboratories in the world can currently build a Kibble balance precise enough for this task, so a more objective definition still depends on a small circle of institutions with the right equipment.","""Kibble Balance."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Kibble_balance. | ""Kilogram."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Kilogram.","Claim card 1: The Kibble balance measures mass by balancing gravitational force against a precisely measurable electromagnetic force, tying the kilogram to the… | Claim card 2: Only a handful of laboratories in the world can currently build a Kibble balance precise enough for this task, so a more objective definition still… | Fact card: Scientists at NIST and other national metrology institutes refined the Kibble balance, a device balancing electromagnetic force against gravity, to… | Materials: 2 Brass, 1 Cord",⚖️,Legendary,Objectivity,Methods and Tools,Physics,Carried: grants the Dowse ability,scale,r64_068
"NIST F1 Caesium Fountain Atomic Clock, 1999",The Ring: in the open (Field Search or floor pickup),Generated in-game (template: chart),"The National Institute of Standards and Technology unveiled the NIST-F1 caesium fountain atomic clock in 1999, accurate to within about one second every 20 million years at the time of its introduction. The clock defines the second by counting a fixed number of transitions between energy states in caesium 133 atoms, tossed in a fountain like path through a microwave chamber. Laboratories worldwide compare atomic clocks to keep global timekeeping synchronised.","KQ: How does counting atomic vibrations replace a king's word as the definition of a second?

Suggested answer 1: NIST-F1 defines a second by counting a fixed number of radiation cycles from caesium atoms, so a unit once tied to Earth's rotation now rests on an atomic process nobody can bend for convenience.

Suggested answer 2: Even an atomic clock needs regular comparison against sister clocks worldwide to catch tiny drift, so an objective standard still runs on continuous human checking, not a single perfect machine left alone.","""NIST-F1."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/NIST-F1. | ""Atomic Clock."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Atomic_clock.","Claim card 1: NIST-F1 defines a second by counting a fixed number of radiation cycles from caesium atoms, so a unit once tied to Earth's rotation now rests on an… | Claim card 2: Even an atomic clock needs regular comparison against sister clocks worldwide to catch tiny drift, so an objective standard still runs on continuous… | Fact card: The National Institute of Standards and Technology unveiled the NIST-F1 caesium fountain atomic clock in 1999, accurate to within about one second… | Materials: 2 Paper, 1 Resin",⏱️,Rare,Objectivity,Methods and Tools,Physics,On finding: +16 Objectivity insight,chart,r64_069
"Perelman's Poincare Conjecture Preprint, arXiv, 2002",The Grand Reliquary: given by Archivist Yelena Rakova after an exchange,Generated in-game (template: chart),"Grigori Perelman posted a series of preprints on arXiv between 2002 and 2003, proving the Poincare conjecture, a problem about the shape of three dimensional spaces left unsolved since 1904. Independent teams of mathematicians spent years checking the dense argument before the mathematical community accepted it as correct. Perelman declined the Fields Medal in 2006 and the Clay Mathematics Institute's Millennium Prize of one million dollars in 2010.","KQ: Why would a mathematician refuse a prize for reaching total certainty?

Suggested answer 1: Grigori Perelman posted his proof of the Poincare conjecture on arXiv in 2002 instead of a journal, letting other mathematicians verify the argument openly before any formal certainty was declared, so open sharing became part of establishing trust in the result.

Suggested answer 2: Perelman turned down both the Fields Medal and a one million dollar Millennium Prize after his proof was confirmed, so total certainty about a theorem did not require any reward to feel complete to the person who found it.","""Grigori Perelman."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Grigori_Perelman. | ""Poincare Conjecture."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Poincar%C3%A9_conjecture.","Claim card 1: Grigori Perelman posted his proof of the Poincare conjecture on arXiv in 2002 instead of a journal, letting other mathematicians verify the argument… | Claim card 2: Perelman turned down both the Fields Medal and a one million dollar Millennium Prize after his proof was confirmed, so total certainty about a… | Fact card: Grigori Perelman posted a series of preprints on arXiv between 2002 and 2003, proving the Poincare conjecture, a problem about the shape of three… | Materials: 2 Paper, 1 Cord",🌀,Rare,Certainty,Methods and Tools,Mathematics,On finding: +22 Certainty insight,chart,r64_070
"Yap Rai Stone, Micronesia",Wayfinder's Ocean: in the open (Field Search or floor pickup),Generated in-game (template: tablet),"The people of Yap, an island group in Micronesia, carved large stone discs called rai from limestone quarried on Palau, then transported them by canoe and raft across open ocean. Communities tracked ownership of each stone through shared memory rather than moving the stones after they arrived, since some weighed several tonnes. Economists have cited rai stones as an early example of money whose value rests entirely on shared belief and record keeping, similar in principle to modern ledger systems.","KQ: Can money still count as money if the owner never moves it?

Suggested answer 1: Yapese communities tracked ownership of giant stone discs through shared memory and oral history rather than moving the stones themselves, so a currency functioned through community agreement, not through anyone carrying coins in a pocket.

Suggested answer 2: Outsiders often called rai stones a strange or primitive form of money, yet the system tracked ownership about as reliably as a bank ledger, so an unfamiliar system judged odd from outside can still function exactly as intended inside its own community.","""Rai Stones."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Rai_stones.","Claim card 1: Yapese communities tracked ownership of giant stone discs through shared memory and oral history rather than moving the stones themselves, so a… | Claim card 2: Outsiders often called rai stones a strange or primitive form of money, yet the system tracked ownership about as reliably as a bank ledger, so an… | Fact card: The people of Yap, an island group in Micronesia, carved large stone discs called rai from limestone quarried on Palau, then transported them by… | Materials: 2 Stone, 1 Cord",⭕,Epic,Culture,Perspectives,Economics,Carried: courier route to The Grand Reliquary,tablet,r64_071
"Fijian Tabua Whale Tooth Currency, Fiji",Wayfinder's Ocean: hidden. Hint: Wrapped in tapa cloth inside the chief's replica meeting house.,Generated in-game (template: bone),"Fijian communities have used tabua, polished and cured sperm whale teeth, in ceremonial exchange for serious requests, apologies, marriage negotiations, and peace agreements for centuries. Presenting a tabua signals respect and seriousness in a way money cannot substitute for within Fijian custom. Sperm whales are now internationally protected, so most tabua in circulation today are older teeth passed through generations rather than newly sourced.","KQ: Why does a gift outrank a coin in some ceremonies?

Suggested answer 1: Fijian communities present a polished sperm whale tooth, or tabua, to mark serious requests, apologies, or agreements, so an object exchanged between people can carry social and spiritual weight no coin could match.

Suggested answer 2: A tabua only carries its full meaning inside a proper ceremony with the right words and standing between giver and receiver, so identical objects can mean very little once removed from the relationship which gave them value.","""Tabua."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Tabua.","Claim card 1: Fijian communities present a polished sperm whale tooth, or tabua, to mark serious requests, apologies, or agreements, so an object exchanged… | Claim card 2: A tabua only carries its full meaning inside a proper ceremony with the right words and standing between giver and receiver, so identical objects… | Fact card: Fijian communities have used tabua, polished and cured sperm whale teeth, in ceremonial exchange for serious requests, apologies, marriage… | Materials: 2 Bone, 1 Resin",🦷,Epic,Culture,Perspectives,World Religions,Carried: Perspective Token (Culture),bone,r64_072
"Monopoly, Parker Brothers Atlantic City Edition, 1935",The Grand Reliquary: given by Toy Seller Gordon Pike after an exchange,Generated in-game (template: book),"Parker Brothers published its Atlantic City themed edition of Monopoly in 1935, licensing a design based on Charles Darrow's version, itself adapted from Lizzie Magie's earlier Landlord's Game. The game uses street names from Atlantic City, New Jersey, and became one of the best selling board games in history. Parker Brothers marketed the game heavily during the Great Depression, when its theme of sudden wealth and ruin resonated with players facing economic hardship.","KQ: Why does a game about ruining your friends stay a favourite family night in?

Suggested answer 1: Monopoly rewards buying up property and charging rent until other players run out of money, so a family game quietly teaches and celebrates values driving property competition outside the box.

Suggested answer 2: Parker Brothers marketed Monopoly as good clean fun during the Great Depression, so a game mirroring economic ruin became especially popular exactly when actual ruin worried millions of families.","""Monopoly (Game)."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Monopoly_(game).","Claim card 1: Monopoly rewards buying up property and charging rent until other players run out of money, so a family game quietly teaches and celebrates values… | Claim card 2: Parker Brothers marketed Monopoly as good clean fun during the Great Depression, so a game mirroring economic ruin became especially popular exactly… | Fact card: Parker Brothers published its Atlantic City themed edition of Monopoly in 1935, licensing a design based on Charles Darrow's version, itself adapted… | Materials: 2 Paper, 1 Resin",🎩,Rare,Values,Ethics,Business Management,Carried: trial bonus (life),book,r64_073
"Usain Bolt's Puma Spikes, Berlin World Championships, 2009","The Exchange stall (delivered from Seoul), about 110 lumens",Generated in-game (template: boat),"The Jamaican sprinter Usain Bolt ran the 100 metres in 9.58 seconds at the 2009 World Championships in Berlin, wearing spikes made by Puma, still the fastest time recorded. Sports scientists have since analysed the race extensively, pointing to Bolt's unusually long stride and his ability to keep accelerating later in the race than most competitors. The record has stood since 2009, outlasting predictions of a fall within a decade.","KQ: How much of a record breaking run can science actually explain?

Suggested answer 1: Biomechanists studied Usain Bolt's 9.58 second 100 metre run in Berlin in 2009 frame by frame, explaining his speed through stride length, reaction time, and a rare top end acceleration most sprinters lose earlier in a race.

Suggested answer 2: No biomechanical model fully explains why one body produces a talent this rare, so science can describe a record in fine detail while still falling short of predicting the next athlete who might break it.","""Usain Bolt."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Usain_Bolt. | ""100 Metres."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/100_metres.","Claim card 1: Biomechanists studied Usain Bolt's 9.58 second 100 metre run in Berlin in 2009 frame by frame, explaining his speed through stride length, reaction… | Claim card 2: No biomechanical model fully explains why one body produces a talent this rare, so science can describe a record in fine detail while still falling… | Fact card: The Jamaican sprinter Usain Bolt ran the 100 metres in 9.58 seconds at the 2009 World Championships in Berlin, wearing spikes made by Puma, still… | Materials: 2 Wood, 1 Charcoal",⚡,Epic,Explanation,Scope,Sports Science,Carried: +3 Vigor for trials,boat,r64_074
