Activity ID,Assessment,Category,Skill Focus,Activity Type,Activity Title,Activity Description,Time (min),IB Criterion,Style Preference,Text Type(s),Text / Work Focus,Difficulty,Location,Format,Session Use,Exam Proximity,Materials,Energy Level,Support Level,Helps With,Why It Helps,Success Criteria,If You Are Stuck
P2-0515,Paper 2,Crit A: Motif Knowledge,Motif: Shopping Bags,Skill Drill,The Opening Image,Write one sentence on Nora's shopping bags in the opening scene. What does this visual image establish about her role and the household economy before a single word is spoken?,1,A,"Reading, Writing, Solitary",A Doll's House,A Doll's House,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Getting Started, Quotations & Evidence",Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0516,Paper 2,Crit A: Motif Knowledge,Motif: Second-Best Bed,Skill Drill,Second-Best Bed in Anne Hathaway,"Write one sentence on the second-best bed in Anne Hathaway. What historical fact does Duffy invoke, and how does she subvert the conventional reading of that fact?",1,A,"Reading, Writing, Solitary",The World's Wife,The World's Wife,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Quotations & Evidence,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0517,Paper 2,Crit A: Motif Knowledge,Motif: Snake-Hair,Skill Drill,Medusa's Snake-Hair,Write one sentence on the snake-hair in Medusa. What does Duffy suggest the snakes represent psychologically? Is the transformation a punishment or an expression?,1,A,"Reading, Writing, Solitary",The World's Wife,The World's Wife,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Quotations & Evidence,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0518,Paper 2,Crit A: Motif Knowledge,Motif: Slaying the Wolf,Skill Drill,Wolf-Slaying in Little Red-Cap,"Write one sentence on the slaying of the wolf in Little Red-Cap. What does the wolf represent, and what does killing it allow the speaker to do?",1,A,"Reading, Writing, Solitary",The World's Wife,The World's Wife,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Quotations & Evidence, Speaking Confidence",Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0519,Paper 2,Crit A: Motif Knowledge,Motif: Unstitching,Skill Drill,Penelope Unstitching,Write one sentence on the unstitching in Penelope. Why does Penelope unpick her work rather than keep it? What does the repeated unmaking represent about female creative autonomy?,1,A,"Reading, Writing, Solitary",The World's Wife,The World's Wife,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Analysis Depth, Quotations & Evidence, Fresh Ideas & Interpretation",Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0520,Paper 2,Crit A: Motif Knowledge,Motif: Ketchup and Onion,Skill Drill,Ketchup and Onion in Mrs Midas,Write one sentence on the ketchup and onion in Mrs Midas. What does grounding the myth in these mundane domestic items achieve? What does their presence do to the tone?,1,A,"Reading, Writing, Solitary",The World's Wife,The World's Wife,Foundational,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Highly Scaffolded — steps are laid out for you,Quotations & Evidence,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0521,Paper 2,Crit A: Motif Knowledge,Motif: White Bones,Skill Drill,White Bones in Little Red-Cap,"Write one sentence on the white bones in Little Red-Cap. Whose bones are they, and what does the speaker do with them? What does this act of reclamation represent?",1,A,"Reading, Writing, Solitary",The World's Wife,The World's Wife,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Quotations & Evidence, Speaking Confidence",Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0522,Paper 2,Crit A: Motif Knowledge,Motif: Queen Herod Blood,Skill Drill,Blood on the Hands in Queen Herod,Write one sentence on the blood imagery in Queen Herod. How does Duffy subvert the expected reading of maternal instinct by having a mother order violence to protect her child?,1,A,"Reading, Writing, Solitary",The World's Wife,The World's Wife,Advanced,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Independent — you drive the thinking,"Analysis Depth, Structure & Planning, Quotations & Evidence",Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0523,Paper 2,Crit A: Motif Knowledge,Motif: Red-Handled Knife,Skill Drill,Red-Handled Knife in Salome,Write one sentence on the red-handled knife in Salome. What does the object represent about the speaker's relationship to violence and detachment?,1,A,"Reading, Writing, Solitary",The World's Wife,The World's Wife,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Quotations & Evidence, Speaking Confidence",Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0524,Paper 2,Crit A: Motif Knowledge,Motif: Ten-Year Silence,Skill Drill,Silence in Mrs Rip Van Winkle,"Write one sentence on the ten-year silence in Mrs Rip Van Winkle. What does the speaker do in her husband's absence, and what does this suggest about the relationship between his presence and her freedom?",1,A,"Reading, Writing, Solitary",The World's Wife,The World's Wife,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Quotations & Evidence, Speaking Confidence",Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0525,Paper 2,Crit A: Motif Knowledge,Motif: Diet of Peanuts,Skill Drill,Queen Kong and Peanuts,Write one sentence on the diet of peanuts in Queen Kong. What does this image suggest about how society diminishes powerful women?,1,A,"Reading, Writing, Solitary",The World's Wife,The World's Wife,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Quotations & Evidence,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0526,Paper 2,Crit A: Motif Knowledge,Motif: The Stove,Technique Drill,Stove as False Security,"Write two sentences on the stove in ADH. Address: what warmth it suggests about the Helmer household, and what Ibsen implies about the security it represents. Is that security real?",2,A,"Reading, Writing, Solitary",A Doll's House,A Doll's House,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Quotations & Evidence,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0527,Paper 2,Crit A: Motif Knowledge,Motif: Black Cross Card,Technique Drill,Dr Ranks Card,"Write two sentences on the black cross card Dr Rank leaves at the end of ADH. What does it signal about his condition, and what does its arrival do to the remaining scenes?",2,A,"Reading, Writing, Solitary",A Doll's House,A Doll's House,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Quotations & Evidence,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0528,Paper 2,Crit A: Motif Knowledge,Motif: Proscenium Arch,Technique Drill,The Fourth Wall Cage,Write two sentences on the proscenium arch as an invisible cage in ADH. How does the theatrical form itself become a metaphor for the situation Ibsen depicts?,2,A,"Reading, Writing, Solitary",A Doll's House,A Doll's House,Advanced,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Independent — you drive the thinking,Quotations & Evidence,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0529,Paper 2,Crit A: Motif Knowledge,Motif: Golden Chalice,Technique Drill,Golden Chalice in Mrs Midas,"Write two sentences on the golden chalice in Mrs Midas. What does Midas turning it to gold represent, and how does it function within the poem's critique of male greed?",2,A,"Reading, Writing, Solitary",The World's Wife,The World's Wife,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Quotations & Evidence,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0530,Paper 2,Crit A: Motif Knowledge,Motif: Weight of Boulders,Technique Drill,Boulders in Mrs Sisyphus,Write two sentences on the weight of the boulders in Mrs Sisyphus. What does the boulder represent about the male ego? How does the speaker's attitude to the boulder differ from the myth's original framing?,2,A,"Reading, Writing, Solitary",The World's Wife,The World's Wife,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Quotations & Evidence, Speaking Confidence",Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0531,Paper 2,Crit A: Motif Knowledge,Motif: Shifting Elements,Technique Drill,Fire Water Air in Thetis,"Write two sentences on the shifting elements in Thetis (fire, water, air, animal). What does each transformation represent, and how does the accumulation of changes comment on female autonomy?",2,A,"Reading, Writing, Solitary",The World's Wife,The World's Wife,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Quotations & Evidence,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0532,Paper 2,Crit A: Motif Knowledge,Motif: Ape Manners,Technique Drill,Mrs Darwin and the Ape,"Write two sentences on the ape-like manners in Mrs Darwin. What does the speaker observe, and what does the brevity of the poem achieve in terms of its critique of great men?",2,A,"Reading, Writing, Solitary",The World's Wife,The World's Wife,Foundational,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Highly Scaffolded — steps are laid out for you,"Quotations & Evidence, Speaking Confidence",Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0533,Paper 2,Crit A: Motif Knowledge,Motif: Flesh-Colored Stockings,Technique Drill,Stockings and Power,"Write two sentences on the flesh-coloured stockings in ADH. What do they suggest about Nora's awareness of her own body as a tool, and how do they complicate the doll reading of her character?",2,A,"Reading, Writing, Solitary",A Doll's House,A Doll's House,Advanced,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Independent — you drive the thinking,Quotations & Evidence,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0534,Paper 2,Crit A: Motif Knowledge,Motif: The Loan,Technique Drill,The Loan as Agency,Write two sentences on the loan in ADH. In what sense is it Nora's first independent man-like act? What does it reveal about the gap between legal gender equality and Nora's actual options?,2,A,"Reading, Writing, Solitary",A Doll's House,A Doll's House,Advanced,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Independent — you drive the thinking,Quotations & Evidence,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0535,Paper 2,Crit A: Motif Knowledge,Motif: Empty Stage,Technique Drill,Empty Stage at Plays End,Write two sentences on the empty stage at the end of ADH. What does Ibsen achieve by ending on absence? Why is an empty stage more expressive than a final tableau?,2,A,"Reading, Writing, Solitary",A Doll's House,A Doll's House,Advanced,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Independent — you drive the thinking,"Analysis Depth, Quotations & Evidence",Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0536,Paper 2,Crit A: Thematic Skill,Theme: Domestic Entrapment,Technique Drill,Domestic Space as Trap,Write three sentences on how domestic spaces function as sites of entrapment in both texts. Choose one specific space in ADH and one in TWW. Write on how each writer uses the space to encode a social argument.,3,A,"Reading, Writing, Solitary","The World's Wife, A Doll's House","The World's Wife, A Doll's House",Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Comparative Linking,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0537,Paper 2,Crit A: Thematic Skill,Theme: Performance of Marriage,Technique Drill,Marriage as Performance,Write three sentences on how marriage functions as a performance of social respectability in both texts. Address what each text suggests happens when the performance is required to continue despite the performer's dissent.,3,A,"Reading, Writing, Solitary","The World's Wife, A Doll's House","The World's Wife, A Doll's House",Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Comparative Linking,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0538,Paper 2,Crit A: Thematic Skill,Theme: Secret Life,Technique Drill,The Hidden Self,Write three sentences on the significance of a character's secret life or hidden history in both texts. Choose one example from each. What does each secret reveal about the gap between public identity and private experience?,3,A,"Reading, Writing, Solitary","The World's Wife, A Doll's House","The World's Wife, A Doll's House",Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Comparative Linking,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0539,Paper 2,Crit A: Thematic Skill,Theme: Paternalistic Language,Technique Drill,Language of Control,Write three sentences on how paternalistic language maintains power imbalances in both texts. Give one language example from each. What does the language ask of the woman who receives it?,3,A,"Reading, Writing, Solitary","The World's Wife, A Doll's House","The World's Wife, A Doll's House",Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Comparative Linking,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0540,Paper 2,Crit A: Thematic Skill,Theme: The Act of Leaving,Technique Drill,Leaving as Statement,Write three sentences on how the act of leaving functions in both texts. Address Nora's exit and one comparable act of departure or refusal in TWW. What does each act of leaving claim?,3,A,"Reading, Writing, Solitary","The World's Wife, A Doll's House","The World's Wife, A Doll's House",Advanced,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Independent — you drive the thinking,Comparative Linking,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0541,Paper 2,Crit A: Thematic Skill,Theme: Motherhood as Burden,Technique Drill,Motherhood and Duty,Write three sentences on how motherhood is framed as a burden of social expectation in both texts. Choose one poem from TWW and Nora's relationship to her children in ADH.,3,A,"Reading, Writing, Solitary","The World's Wife, A Doll's House","The World's Wife, A Doll's House",Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Comparative Linking,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0542,Paper 2,Crit A: Thematic Skill,Theme: Male Fragility,Technique Drill,Fragile Male Ego,Write three sentences on how both writers depict the fragility of the male ego under pressure. Choose one moment from each text where this fragility is most visible.,3,A,"Reading, Writing, Solitary","The World's Wife, A Doll's House","The World's Wife, A Doll's House",Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0543,Paper 2,Crit A: Thematic Skill,Theme: Reputation and Honor,Technique Drill,Honor as Cage,Write three sentences on how reputation and honour dictate character decisions in both texts. What do both writers suggest about the cost of maintaining a good name?,3,A,"Reading, Writing, Solitary","The World's Wife, A Doll's House","The World's Wife, A Doll's House",Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Comparative Linking,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0544,Paper 2,Crit A: Thematic Skill,Theme: Creativity as Rebellion,Technique Drill,Making as Resistance,"Write three sentences on how creative acts (weaving, writing, dancing) function as rebellion in both texts. Choose one example per text and write on how each creative act is read by the other characters.",3,A,"Reading, Writing, Solitary","The World's Wife, A Doll's House","The World's Wife, A Doll's House",Advanced,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Independent — you drive the thinking,"Comparative Linking, Fresh Ideas & Interpretation",Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0545,Paper 2,Crit A: Thematic Skill,Theme: Intergenerational Oppression,Technique Drill,Cycles of Constraint,Write three sentences on how both texts portray the intergenerational cycle of oppression. What does each writer suggest about whether the cycle can be broken?,3,A,"Reading, Writing, Solitary","The World's Wife, A Doll's House","The World's Wife, A Doll's House",Advanced,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Independent — you drive the thinking,Comparative Linking,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0546,Paper 2,Crit A: Evidence Craft,Skill: Eliminate Plot Summary,Technique Drill,Cut the Summary,"Write two analytical sentences about a moment in ADH. Then re-read them. Circle any word or clause that recounts what happens rather than what it means. Rewrite, cutting all plot summary.",3,A,"Reading, Writing, Analytical, Solitary",A Doll's House,A Doll's House,Foundational,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Highly Scaffolded — steps are laid out for you,Fresh Ideas & Interpretation,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0547,Paper 2,Crit A: Evidence Craft,Skill: Micro-Quote Use,Technique Drill,Weave the Micro-Quote,"Choose a micro-quote (one to four words) from TWW. Write two sentences that weave that quote into your own syntax without interrupting the analytical flow. The quote must function as evidence, not decoration.",3,"A, B","Reading, Writing, Solitary",The World's Wife,The World's Wife,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Quotations & Evidence,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0548,Paper 2,Crit A: Evidence Craft,Skill: Whole-Text Knowledge,Technique Drill,Arc of Evidence,"Write three sentences tracking one theme or character across the beginning, middle, and end of ADH. Each sentence must reference a different moment in the text. Together, the three sentences must form a cumulative argument.",3,A,"Reading, Writing, Solitary",A Doll's House,A Doll's House,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Getting Started, Quotations & Evidence",Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0549,Paper 2,Crit A: Evidence Craft,Skill: Textual Ambiguity,Technique Drill,Acknowledging Complexity,Write one sentence making a claim about a TWW poem. Then write one sentence acknowledging a competing reading of the same moment. Then write one sentence explaining which reading the text supports more fully.,3,A,"Reading, Writing, Analytical, Solitary",The World's Wife,The World's Wife,Advanced,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Independent — you drive the thinking,Analysis Depth,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0550,Paper 2,Crit A: Evidence Craft,Skill: Authorial Intent,Technique Drill,What Duffy Achieves,"Write three sentences on one TWW poem. Each sentence must include a verb of authorial intent (constructs, positions, implies, challenges, exposes). Do not use the verb reveals more than once.",3,"A, B","Reading, Writing, Solitary",The World's Wife,The World's Wife,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0551,Paper 2,Crit A: Evidence Craft,Skill: So What Question,Technique Drill,The So What Test,"Take any analytical sentence you have written about either text. Write it. Then write the next sentence beginning: This matters because... The second sentence must answer what the analysis reveals about the human condition, gender, or power.",3,A,"Reading, Writing, Analytical, Solitary","The World's Wife, A Doll's House","The World's Wife, A Doll's House",Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Getting Started, Analysis Depth",Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0552,Paper 2,Crit A: Evidence Craft,Skill: Define Key Terms,Technique Drill,Define Before Analysing,"Write a two-sentence definition of one key term from a Paper 2 prompt (agency, identity, confinement, resistance). Do not use the term itself in the definition. Then write one sentence linking the defined concept to both texts.",3,"A, C","Reading, Writing, Solitary","The World's Wife, A Doll's House","The World's Wife, A Doll's House",Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Analysis Depth, Comparative Linking",Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0553,Paper 2,Crit A: Evidence Craft,Skill: Custom Response,Technique Drill,Custom Grasp,Read a Paper 2 question. Write three sentences on what this specific question asks that a general essay on the texts would not address. What angle does the question force that a pre-prepared essay cannot accommodate?,3,"A, C","Reading, Writing, Logical, Solitary","The World's Wife, A Doll's House","The World's Wife, A Doll's House",Advanced,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Independent — you drive the thinking,Speaking Confidence,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0554,Paper 2,Crit B1: Technique Spot,Technique: Retrospective Method,Skill Drill,Ibsen Retrospective Method,"Write one sentence on Ibsen's retrospective method in ADH. How does he reveal Nora's backstory through dialogue rather than action, and what does this technique demand of the audience?",1,B,"Reading, Writing, Solitary",A Doll's House,A Doll's House,Advanced,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Independent — you drive the thinking,Analysis Depth,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0555,Paper 2,Crit B1: Technique Spot,Technique: Modern Lexis,Skill Drill,Duffy Modern Lexis,"Write one sentence on Duffy's use of modern lexis (Visa, Starbucks) to revitalise ancient myths. What does the clash of registers achieve?",1,B,"Reading, Writing, Solitary",The World's Wife,The World's Wife,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0556,Paper 2,Crit B1: Technique Spot,Technique: Sibilance in Medusa,Skill Drill,Sibilance and the Snake,Write one sentence on the sibilance in Medusa. Name the effect it creates and link it to the poem's central image.,1,B,"Auditory, Reading, Writing, Solitary",The World's Wife,The World's Wife,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0557,Paper 2,Crit B1: Technique Spot,Technique: Internal Rhyme,Skill Drill,Internal Rhyme in Mrs Aesop,"Write one sentence on the internal rhyme in Mrs Aesop. How does it contribute to the satirical, mocking tone of the poem?",1,B,"Reading, Writing, Solitary",The World's Wife,The World's Wife,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
P2-0558,Paper 2,Crit B1: Technique Spot,Technique: Enjambment in Thetis,Skill Drill,Enjambment and Shapeshifting,Write one sentence on how enjambment in Thetis mimics the physical shapeshifting of the speaker. What would end-stopped lines have done to the poem's argument?,1,B,"Reading, Writing, Solitary",The World's Wife,The World's Wife,Advanced,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Independent — you drive the thinking,"Analysis Depth, Speaking Confidence",Deepens your command of The World's Wife and A Doll's House — the knowledge bank Paper 2 draws on.,You can make this point in an essay with a named moment or quotation attached.,Anchor yourself in one scene or poem you know best. Build the answer outward from there.
